Idiom,Meaning,Examples,Type,,,,
ask about someone or something,to request information about someone or something from a number of different sources.,"I don’t know the answer. I’ll ask around about it.  Ask about, will you Find out what people are thinking.  Please ask around about her.",General,,,,
ask for trouble, to seem to be trying to get into trouble,"Stop talking to me that way, John. You’re just asking for trouble. _The guard asked me to leave unless I was looking for trouble.",Figurative,,,,
look for trouble, to seem to be trying to get into trouble,"Stop talking to me that way, John. You’re just asking for trouble. _The guard asked me to leave unless I was looking for trouble.",Figurative,,,,
Ask no questions and hear no lies.,"If you ask me that, my answer might not be the truthImplies that you will likely tell a lie, because you do not want to tell the truth.","What am I going to give you for your birthday Ask no questions and hear no lies. _Maybe I like Greg, and maybe I don’t. Ask me no questions, I’ll tell you no lies.",General,,,,
"Ask me no questions, I’ll tell you no lies.","If you ask me that, my answer might not be the truthImplies that you will likely tell a lie, because you do not want to tell the truth.","What am I going to give you for your birthday Ask no questions and hear no lies. _Maybe I like Greg, and maybe I don’t. Ask me no questions, I’ll tell you no lies.",General,,,,
ask someone into some place,to invite someone inside some place.,We asked them into the house.  We stopped our friends in the hallway and asked them in.,General,,,,
ask someone in,to invite someone inside some place.,We asked them into the house.  We stopped our friends in the hallway and asked them in.,General,,,,
at a good clip,rapidlyTypically: go ~,We were moving along at a good clip when a state trooper stopped us.,General,,,,
at a fast clip,rapidlyTypically: go ~,We were moving along at a good clip when a state trooper stopped us.,General,,,,
at a moment’s notice,with very little advance notice,They are always asking us to produce reports at a moment’s notice.,General,,,,
on a moment’s notice,with very little advance notice,They are always asking us to produce reports at a moment’s notice.,General,,,,
at a snail’s pace,very slowly.,"Things are moving along at a snail’s pace here, but we’ll finish on time—have no fear.  Poor old Wally is creeping at a snail’s gallop because his car has a f lat tire.",General,,,,
at a snail’s gallop,very slowly.,"Things are moving along at a snail’s pace here, but we’ll finish on time—have no fear.  Poor old Wally is creeping at a snail’s gallop because his car has a f lat tire.",General,,,,
at all costs, regardless of the difficulty or cost,I intend to have that car at all costs.  Mary was going to get that job at any cost.,Figurative,,,,
at any cost, regardless of the difficulty or cost,I intend to have that car at all costs.  Mary was going to get that job at any cost.,Figurative,,,,
at best,in the most favorable view,The dinner was not at all pleasant. At best the food was not burned.  At most there were three people in line ahead of me.,General,,,,
