Idiom,Meaning,Examples,Type,,,,
rear its ugly head, for something unpleasant to appear or become obvious after lying hidden.,Jealousy reared its ugly head and destroyed their marriage.  The question of money always rears its ugly head in matters of business.,Figurative,,,,
rear up," for a horse to lean back on its hind legs and raise its front legs, assuming a threatening posture or avoiding something on the ground such as a snake.","The horse reared up suddenly, throwing the rider onto the ground.  When the horse reared up, I almost fell off. 2. Fig. for something, especially a problem to raise up suddenly. _A new problem reared up and cost us a lot of time.  A lot of new costs reared up toward the end of the month.",Literal,,,,
reason against something,"to argue against something, using reason.","I can hardly be expected to reason against a silly argument like that!  I reasoned against it, but they paid no attention to me.",General,,,,
reason something out†,to figure something out,Now let’s be calm and try to reason this out.  Let us reason out our difficulties.,General,,,,
reason with someone,"to discuss something with someone, seeking a reasonable solution to a problem.","Try to reason with Jill. If she won’t listen, forget her.  You cannot reason with someone who is so narrow-minded.",General,,,,
reassign someone to something,to change someone’s assignment to something else,I was reassigned to the accounting department.,General,,,,
reassure someone about something,to give someone confidence about something.,Nancy reassured Betty about her promotion. _Betty was reassured about her promotion.,General,,,,
reassure someone of something,to promise or guarantee someone something.,Kelly reassured her friend of her support in the election.  Please reassure Tom of our continued support.,General,,,,
rebel against someone or something,to resist and revolt against someone or something,,General,,,,
rebel at someone or something,to resist and defy someone or something.,It is natural for teenagers to rebel at their parents.  I feel as if I have to rebel at all these rules.,General,,,,
rebound from something, to bounce back from something.,"The ball rebounded from the wall and hit Randy hard on the elbow. _When the ball rebounded from the backboard, it bounced onto the court and Tom tripped on it. 2. Fig. to recover quickly from something.  Barbara rebounded from her illness in less than a week. _I hope I can rebound from this cold quickly.",Literal,,,,
rebuke someone for something,to reprimand someone for something.,There is no need to rebuke me for a simple mistake like that. _Sally was rebuked for overspending her budget.,General,,,,
recall someone from something,to call someone back from something or some place.,The president recalled our ambassador from the war-torn country.  I was recalled from retirement to help out at the office.,General,,,,
recall someone or something from something,to remember someone or something from some event or some place.,I recall someone by that name from my days at the university.  Mary recalled the appropriate fact from her history studies.,General,,,,
recall something to mind,to cause someone to remember something.,The events of the day recall similar days in the past to mind. _This book recalls a similar book published some years ago to mind.,General,,,,
recall something to someone,to bring something to the mind of someone.,Your comments recall another event to me—something that happened years ago.  What you just said recalled an old saying to me.,General,,,,
recast something in something,to rebuild or redevelop something in a different form,I will recast my request in different language.,General,,,,
recede from something,to pull back from something.,The river receded from its banks during the dry season.  I think that my hair is receding from my forehead.,General,,,,
receive someone as someone or something,to welcome and accept someone as someone or something.,The king received the ambassador as an honored guest.  They said they would receive their former guest as a welcome visitor.,General,,,,
receive someone into something,"to welcome someone into something, some place, or some organization.",Everyone received the new member into the club with eager congratulations.  We received them into our homes and fed them well.,General,,,,
receive someone or something back,to get someone or something back,I sent a letter off with the wrong postage and received it back two weeks later.,General,,,,
receive something from some place,to get and accept something from some place.,I just received a letter from Budapest!  Mary received a package from Japan.,General,,,,
receive something from someone,to get and accept something from someone.,Tony received a sweater from his grandfather for his birthday.  Who did you receive this from,General,,,,
reckon someone as someone or something,to perceive someone as someone or something.,"I reckoned her as a more thoughtful individual than she turned out to be.  Mary reckoned Scott as a constant irritation, and she was right on the button.",General,,,,
reckon someone or something among something,to judge someone or something to belong among a select group.,I reckon Donna among the best tennis pros in the country. _We reckon this automobile among the most advanced in the world.,General,,,,
reckon with someone or something,to deal with someone or something,I have to reckon with the troublesome Mr. Johnson this afternoon. _Mary knew just exactly how she had to reckon with the bill collector.,General,,,,
reckon without someone,to fail to think about someone.,"He thought he’d get away with his crime, but he reckoned without the FBI agents. _He had thought he was gone for sure, but he had reckoned without the paramedics.",General,,,,
reclaim someone or something from someone or something,to bring someone or something back from someone or something.,"The mother reclaimed Sally from her father, who had abducted her contrary to the divorce decree.  Mary reclaimed the book from her brother’s desk.",General,,,,
recognize someone as someone or something,to accept and acknowledge someone to be someone,Mary didn’t recognize the lawyer as her legal representative.  Lizzy didn’t recognize the car as her car.,General,,,,
recognize someone or something by something,to know someone or something by some distinguishing sign,Mary recognized her car by the ribbon tied to the antenna.,General,,,,
recognize someone or something for something, to identify someone or something as something.,I recognized the deal for a scam as soon as I heard about it.  Anyone could recognize Max for a common thief. 2. to show appreciation to someone or something for something.  The organization recognized Laura for her excellent contributions to the philanthropy committee.  The officers recognized the committee for its outstanding efforts.,General,,,,
recoil from someone or something,to draw back from someone or something,I recoiled from the horror and slammed the door.,General,,,,
recommend someone as something,to suggest someone as something.,Could you recommend Frank as a good carpenter _I can recommend Jane Smith as a good artist.,General,,,,
recommend someone for something,to suggest someone for something.,I would be very glad to recommend you for promotion.  She recommended herself as the best choice.,General,,,,
recommend someone or something to someone,to suggest that someone choose someone or something.,I would like to recommend Sally to you as a good prospect for membership on the committee.  Could you recommend a good mechanic to me,General,,,,
recompense someone for something,to repay someone for something.,I am required to recompense Mrs. Wilson for her broken window.  Can I recompense you for your expenses,General,,,,
reconcile oneself to something,to grow to feel comfortable with an undesirable or challenging situation.,John reconciled himself to living alone.  Anne reconciled herself to having to wear glasses.,General,,,,
reconcile something with something,"to bring something into harmony, accord, or balance with something.",The accountants were not able to reconcile the expense claims with the receipts that had been turned in.  I can’t reconcile your story with those of the other witnesses.,General,,,,
reconstruct something from something, to rebuild something from something,I cannot reconstruct the chain of events from memory.,General,,,,
record something from something,to make an audio or video recording of something from some source.,Listen to this. I recorded it from a radio broadcast.  From what TV show did you record this,General,,,,
record something in something,to enter a record of something into something,Jane recorded the memo in her computer.,General,,,,
record something on something,to make a record of something on the surface of something.,Nancy recorded the appointment on the calendar that served as a blotter on the top of her desk.  Please record this on your calendar.,General,,,,
recount something to someone,to tell something to someone,Carl recounted the events of the day to his wife.  The strange events were recounted by a number of people.,General,,,,
recoup something from someone or something,to salvage something from someone or something.,I hope I can recoup my expenses from the company this week.  Mary intended to recoup her money from the investment.,General,,,,
recover from someone or something,to get over an experience with someone or something.,"My great-uncle just left, and it will take a day or two to recover from him.  I hope I recover from his visit soon.",General,,,,
recover from something,to recuperate from a disease.,I hope I recover from this cough soon. _She recovered from her cold soon enough to go on the trip.,General,,,,
recover something from someone or something,"to retrieve or salvage something from someone, something, or some place.",The police recovered my purse from the thief who had taken it.  Mary recovered her deposit from the failed bank.,General,,,,
recruit someone for something,to seek and engage someone for something,,General,,,,
recruit someone from something,to convince someone to leave something and join one’s own group.,Phyllis recruited a new work team from the company she used to work for.  We recruited a number of people from private industry.,General,,,,
recruit someone into something,to seek out and induct someone into something.,The recruitment office tried to recruit ten people a week into the army.  The army recruited almost no one during the month of December.,General,,,,
recuperate from something,to recover from something,I hope that you recuperate from your illness soon.  Has she recuperated from her surgery yet,General,,,,
a red herring,a piece of information or suggestion introduced to draw attention away from the real facts of a situationA red herring is a type of strong-smelling smoked fish that was once drawn across the trail of a scent to mislead hunting dogs and put them off the scent.,"The detectives were following a red herring, but they’re on the right track now.  The mystery novel has a couple of red herrings that keep readers off guard.",General,,,,
red in the face, embarrassed.,"After we found Ann hiding in the closet, she became red in the face.  The speaker kept making errors and became red in the face.",Figurative,,,,
red ink, debt,There is too much red ink in my financial statement.  Too much red ink and the company will collapse.,Figurative,,,,
red tape," over-strict attention to the wording and details of rules and regulations, especially by government workersFrom the color of the tape used by government departments in England to tie up bundles of documents",,Figurative,,,,
the red-carpet treatment, very special treatment,I love to go to fancy stores where I get the red-carpet treatment.  The queen expects to get the redcarpet treatment wherever she goes.,Figurative,,,,
rededicate oneself or something to someone or something,to reaffirm the dedication of oneself or something to someone or something.,I must ask you to rededicate yourself to our high purposes.  They rededicated their church to God.,General,,,,
a red-letter day, an important or significant dayFrom the practice of printing holidays in red on the calendar.,Today was a red-letter day in our history.  It was a red-letter day for our club.,Figurative,,,,
redound on someone,to have an effect on someone,,General,,,,
reduce someone to silence,to cause someone to be silent,,General,,,,
reduce someone to tears,"to cause a person to cry through insults, frustration, and belittling.",He scolded her so much that she was reduced to tears by the end of the meeting.,General,,,,
reduce something by something,to diminish something by a certain amount,I will reduce the bill by a few dollars.,General,,,,
reduce something from something to something,to diminish something from one degree to a lower degree,Mary reduced her demands from a large sum to a smaller one.,General,,,,
reduced to doing something,brought into a certain humble condition or state,,General,,,,
"A reed before the wind lives on, while mighty oaks do fall."," An insignificant, flexible person is more likely not to get hurt in a crisis than a prominent or rigid person.","Our office has new managers now; I plan to be as inconspicuous as possible while they reorganize everyone. A reed before the wind lives on, while mighty oaks do fall.",General,,,,
reef a sail in†,"to reduce the area of a ship’s sail, by folding the sail",They had to reef in the sails.,General,,,,
reek of something, to have the stench or smell of something.,This whole house reeks of onions! What did you cook  She reeks of a very strong perfume. She must have spilled it on herself. 2. Fig. to give a strong impression of something.  The neighborhood reeks of poverty.  The deal reeked of dishonesty.,Literal,,,,
reek with something,to stink with some smell,Jane reeks with too much perfume.,General,,,,
reel back from something,"to fall or stagger backwards, as from a blow.","The boxer reeled back from the blow, stunned.  Another blow to the midsection and he reeled back and fell.",General,,,,
reel something in†,"to bring in something, such as a fish, by winding up the line on a reel",Hurry and reel in the fish!,General,,,,
reel under something, to stagger under the weight of something,She knew she would reel under the heavy load. 2. Fig. to stagger because of a blow.  The boxer reeled under the blow to his chin. _Fred reeled under the beating that Mike gave him. 3. Fig. to suffer because of a burden.  Gary reeled under the responsibilities he had been given. _I was just reeling under the burdens of my new job.,Literal,,,,
refer someone back to someone or something,"to suggest that someone go back to someone or something, such as the source.",I referred the client back to the lawyer she had originally consulted.  Tom referred the customer back to the manufacturer who had made the shoddy product.,General,,,,
refer someone to someone or something,to direct someone to someone or something,"The front office referred me to you, and you are now referring me to someone else!  They should have referred you to the personnel department.",General,,,,
refer to someone or something,to mention someone or something,I was referring to the personnel department.,General,,,,
refill a prescription,sell a second or subsequent set of doses of a medicine upon a doctor’s orders.,"The pharmacy refused to refill my prescription because it has expired.  If you want the drugstore to refill your prescription, just give them the prescription number over the telephone.",General,,,,
reflect back upon someone or something,to remember or think about someone or somethingUpon is formal and less commonly used than on.,"When I ref lect back on the years I spent with my parents, I think I had a good childhood. _I like to ref lect on my great-grandmother.",General,,,,
reflect credit upon someone or something,for some act to bring credit to someone or somethingUpon is formal and less commonly used than on,Mary’s success really ref lected credit on the quality of her education.,General,,,,
reflected in something," of something mirrored in something, such as a mirror, water, ice, etc.","His image was ref lected in the mirror, giving him a good view of his sunburn.  When the hermit’s image was ref lected in the pool, he was amazed. 2. Fig. of something shown in a result. _The extra charges will be ref lected in next month’s bill. _I do not understand all the charges that are ref lected in my statement.",Literal,,,,
refrain from something,to hold back from doing something,,General,,,,
refresh someone with something,to renew or revive someone with something,"After the game, Wally will probably refresh himself with a bottle of iced tea.",General,,,,
refresh something with something,to restore or brighten up something.,I think we can refresh this drab old room with a coat of fresh paint.  The old house was refreshed with new siding and some landscaping.,General,,,,
refund something to someone,to return payment for something to someone.,I insist that you refund the money to me at once.  Her money was refunded to her by the store as soon as she asked for it.,General,,,,
refuse something to someone,to deny someone permission to receive or use something.,"You wouldn’t refuse water to me, would you  Nothing at all was refused to the new employee.",General,,,,
refuse to do something,to reject doing something,We all refused to break the law.,General,,,,
regain one’s composure,Cliché to become calm and composed after being angry or agitated.,"I found it difficult to regain my composure after the argument.  Here, sit down and relax so that you can regain your composure.",General,,,,
regain one’s feet, to stand up again after falling or stumbling,I helped my uncle regain his feet as he tried to get up from the f loor. 2. Fig. to become independent after financial difficulties.  I lent Bill 400 to help him regain his feet.  I’ll be able to pay my bills when I regain my feet.,Literal,,,,
regain something from someone or something,to take back possession of one’s property or right from someone or something.,I intend to regain my money from Herb.  The finance company regained the car from the delinquent buyer.,General,,,,
regale someone with something,"to present a great deal of something, such as lavish entertainment or fine food, to someone.",They regaled their guests with food and music well into the night. _The committee was regaled with tales of wrongdoing by the government.,General,,,,
regard someone or something as someone or something,to look upon someone or something as someone or something,I have always regarded you as my friend.  The cult members regarded the stone idol as their dead leader.,General,,,,
regard someone or something with something,to look upon someone or something with a certain attitude or with certain expectations.,The child regarded the teacher with a questioning expression. _The kitten regarded the fishbowl with great curiosity.,General,,,,
regardless of something,without considering something,"Regardless of what you say, I’m still going to the club tonight.  I still have to pay the bill, regardless of the facts.",General,,,,
register for something,to sign up to participate in something,,General,,,,
register in something,to enter one’s name on a list for something,Are you going to register in the pie-eating contest _We registered in the drawing for a new car.,General,,,,
register on something,"for an effect to show on something, such as someone’s face",,General,,,,
register someone as something,to record someone’s name on a list of a category of people,I am registered as a qualified financial advisor.,General,,,,
register someone for something,to sign someone up to participate in something.,Would you please register me for the workshop when you sign up  Excuse me. I have to go register myself for the contest.,General,,,,
register someone in something, to enter someone’s name on a list in something.,I will register you in the competition. 2. to sign someone up to belong to something.  I registered my cousin in the club.,General,,,,
register something with someone or something,to record the existence of something with someone or something.,"Did you register your new stereo with the manufacturer  If you bring any packages into this store, please register them with the manager.",General,,,,
register with someone, to sign up with someone.,"You will have to register with the lady at the front desk.  I registered with the attendant when I came in. 2. Fig. for something to be realized or understood by someone. _Suddenly, the import of what she had said registered with me.  My name did not register with her, and I had to explain who I was.",Literal,,,,
regress to something,"to go back to an earlier, probably simpler, state",Bob claimed that Gerald’s behavior was regressing to that of a three-year-old.  I tend to regress to my college ways when I am out with the guys.,General,,,,
regular as clockwork,Cliché very regular,"You can always depend on Nancy to complain about the office for fifteen minutes every afternoon, regular as clockwork.",General,,,,
a regular fixture,"someone who is found so frequently in a place as to be considered a fixture of, or part of the place.",The manager attached himself to the luncheon club and became a regular fixture there.,General,,,,
a regular guy,a normal and dependable guy.,Don’t worry about Tom. He’s a regular guy. He won’t give you any trouble.,General,,,,
rehearse for something,to practice for something.,We will rehearse for the graduation exercises on Saturday morning.  We rehearsed for the play all weekend.,General,,,,
reign over someone or something,to rule over someone or something.,The king reigned over his subjects for over thirty years. _The queen reigned over the country for a long time.,General,,,,
reimburse someone for something,"to repay someone for making a purchase, such as a business expense.",I will reimburse you for whatever it cost you.  The treasurer reimbursed himself for his expenses.,General,,,,
reimburse something to someone,"to repay money to someone, such as a business expense.",I will reimburse the money to you. Don’t worry. _The full cost was reimbursed to me.,General,,,,
rein back on someone or something,to control or diminish the intensity of someone or something.,The manager was urged to rein back on her assigning overtime.  She reined back on expenses and demanded that others do likewise.,General,,,,
rein someone or something in†,to bring someone or something under control,Fred is getting out of hand. The boss undertook to rein him in a bit.  The boss is trying to rein in Jane’s enthusiasm.,General,,,,
rein something up†,"to bring something, usually a horse, to a stop",Rein up your horse and stop for a while.,General,,,,
rein up,for a horse rider to stop,,General,,,,
reinforce someone or something with something,to strengthen someone or something with something,I had to reinforce the garage roof with new boards.,General,,,,
reinstate someone as something,to put someone back as a certain officeholder,,General,,,,
reinstate someone in something,to put someone back into a certain office or position,,General,,,,
reinvent the wheel, to make unnecessary or redundant preparations.,"You don’t need to reinvent the wheel. Read up on what others have done.  I don’t have to reinvent the wheel, but I will be cautious before I act.",Figurative,,,,
reissue something to someone,to release or distribute to someone something that has been distributed before,,General,,,,
reject someone or something out of hand,to reject someone or something without any thought or study.,Fred is so contrary that they rejected him out of hand when his name came up for a committee position.,General,,,,
rejoice at something,to celebrate or revel about something,We all rejoiced at the outcome of the election.,General,,,,
rejoice in someone or something,to take great joy at someone or something.,I am in love and I rejoice in my beloved!  Roger rejoices in a good night’s sleep.,General,,,,
rejoice over something,to celebrate because of something.,Everyone rejoiced over their good fortune.  What happened to us next was nothing to rejoice over.,General,,,,
relapse into something,to experience a return to a worse condition,Mary relapsed into her depression after a brief period of normalcy.,General,,,,
relate something to someone,to tell something to someone,"Very slowly, she related the events of the past week to her parents.  I have an interesting story to relate to you.",General,,,,
relate something to something,to associate something to something,This point is related to what I just told you.,General,,,,
relate to someone or something,"to understand, accept, or feel kinship with someone or something.",He relates to people well.  I really don’t relate to your thinking at all.,General,,,,
related to someone,connected through blood kinship or through marriage to someoneTypically: be ~,"I wonder if he is related to you, because he looks a little like you.  I am not related to anyone here.",General,,,,
relative to someone or something, concerning someone or something.,I have something to say relative to Bill.  Do you have any information relative to the situation in South America 2. in proportion to someone or something.  My happiness is relative to yours.  I can spend an amount of money relative to the amount of money I earn.,General,,,,
relax into something," to sit or lie down in something, relaxing","I relaxed into the reclining chair and was asleep in a few moments. 2. for something that is tense to assume a more relaxed shape or condition.  His cramped muscle finally relaxed into a soft mass of tissue. _As her tight neck relaxed into softness, her face brightened.",General,,,,
relax one’s hold on someone or something,to lessen one’s grasp on someone or something.,"When she relaxed her hold on me, I got away.  Never relax your hold on an alligator.",General,,,,
relay something to someone,to pass something on to someone.,"Can you relay this to Frank, who is way down the line  The message was relayed to Frank, who was at the end of the line.",General,,,,
release someone or something from something,to liberate or let someone or something go from something.,The police officer released George from the handcuffs.  I released all the dogs from the city dog pound.,General,,,,
release someone to someone,to discharge or distribute someone to someone.,"The judge released the defendant to his mother. _Don was released by the police to his father, who was more than a little bit angry.",General,,,,
relegate someone to someone or something,to assign someone to someone or somethingOften refers to something unimportant or demeaning,The former vice president was relegated to the position of manager of special projects.,General,,,,
reliance on someone or something,trust and dependence on someone or something.,John’s reliance on his family is holding him back.  Reliance on sleeping pills is dangerous.,General,,,,
relieve one of one’s duties,Euphto fire someone,"I am afraid I must relieve you of your duties.  After the scandal, she was relieved of her duties at the embassy.",General,,,,
relieve oneself,Euphto urinate or defecate.,"He stopped by the side of the road to relieve himself. _She needed badly to relieve herself, but there was no bathroom in sight.",General,,,,
relieve someone of something, to unburden someone of something,"At last, he could relieve himself of the problem. 2. Fig. to lessen someone’s responsibilities. _I will relieve you of some of the responsibility you have carried for so long.  Let me relieve you of that job. You have enough to do.",Literal,,,,
religious about doing something, strict about something,Bob is religious about paying his bills on time.  Max tries to be religious about being polite to everyone.,Figurative,,,,
relinquish something over someone,to release the hold on or control of someone.,She refused to relinquish control over the operations of the front office. _Mary was ordered to relinquish her hold over the children for a month each year.,General,,,,
relinquish something to someone or something,to surrender something to someone or something.,Todd refused to relinquish his authority to anyone.  I finally relinquished the car to the bank.,General,,,,
relocate someone or something in something,to reposition or move someone or something in or at something.,I will have to relocate you in a different office.  Can I relocate the copy machine in the other room,General,,,,
reluctant to do something,unwilling to do something,"Although reluctant to appear in court, the witness was ordered to by subpoena.",General,,,,
rely upon someone or something,to depend on someone or something,I know I can rely upon you to do a good job.  Can we rely on this old car to get us there,General,,,,
remain at some place,to stay at some place,I will remain at the office until supper time.  Please remain at home until I call you.,General,,,,
remain away from someone or something,to stay away from someone or something.,I must ask you to remain away from my daughter.  I cannot remain away any longer. I must be with her.,General,,,,
remain behind,to stay at a place even when others have left,,General,,,,
remain down,to stay down,,General,,,,
remain in something, to stay within something.,Please remain in the house today. It is too cold to go out.  You should remain in because the weather is bad. 2. to stay in an organization as a member. _He remained in the Boy Scouts until he was sixteen. _I will remain in the teacher’s union for many years.,General,,,,
remain together,to stay close together,We will have to remain together while we are on this tour. It is very easy to get lost in this town.  The two boys remained together throughout college.,General,,,,
remain under something,to continue to stay beneath the surface of something,"A lot of people decided to leave the shelter, but I remained under it.",General,,,,
remain up,to stay awake and out of bed.,I remained up throughout most of the night.  I cannot remain up much longer.,General,,,,
remain within something,to stay inside something or some place.,"Please try to remain within the boundaries of the campus.  Everyone else went out, but I decided to remain within.",General,,,,
remark upon someone or something,to comment on someone or somethingUpon is formal and less commonly used than on.,She remarked upon his tardiness and then continued the lesson. _There is no need to remark on me or anything I do or don’t do.,General,,,,
Remember me to someone.,Please carry my good wishes to someoneThe someone can be a person’s name or a pronoun.,"Tom: My brother says hello. Bill: Oh, good. Please remember me to him. Tom: I will. _Fred: Bye. John: Good-bye, Fred. Remember me to your Uncle Tom.",General,,,,
remember someone as something,to recall someone as being a particular type of person.,"I remember Terri as a rather cheerful girl, always willing to help out. _William will be remembered as a grouchy person.",General,,,,
remember someone in one’s will,to bequeath something to someone in one’s will,He failed to remember me in his will.,General,,,,
remember someone to someone,to carry the greetings of someone to someone else.,"Please remember all of us to your uncle.  I will remember you to my brother, who asks of you often.",General,,,,
remind someone about someone or something,to cause someone to remember someone or something,I will remind you about your appointments for today.,General,,,,
remind someone of someone or something,to bring a memory of someone or something into someone’s mind,The happy song reminded us of our cabin on the lake.,General,,,,
reminisce about someone or something,to think about one’s memories of someone or something,They were reminiscing about their old friends.  The old men sat and reminisced about the good old days.,General,,,,
reminisce with someone,to share memories with someone.,I love to reminisce with my sister about old times. _Todd was reminiscing with Alice about the good old days.,General,,,,
reminiscent of someone or something,reminding someone about someone or something,This fragrance is reminiscent of fresh f lowers.  Jane’s dress seems reminiscent of the style worn in the 1920s.,General,,,,
remit something to someone or something,"to send something, especially money, to someone or a group.",Please remit your rent to your landlady immediately. _You are requested to remit your loan payment to the bank on time this month.,General,,,,
remonstrate with someone about someone or something,to protest to someone about someone or something,I spent an hour remonstrating about Ted with Alice.,General,,,,
remove someone from something,to take someone out of an office or position.,The county board removed the sheriff from office.  She removed herself from office voluntarily.,General,,,,
remove someone or something from someone or something,to take someone or something away from someone or something.,The authorities removed the child from his mother.  They removed the dog from the kennel.,General,,,,
remunerate someone for something, to pay someone for something.,"Of course, I will remunerate you for your time.  She was promptly remunerated for the hours she spent working on the project. 2. to repay someone for money spent.  I will remunerate you for the cost of the book if you will give me the receipt.  Please remunerate me for the charges as soon as possible.",General,,,,
rend something from someone or something,to tear something from someone or somethingThe past tense and past participle are rent.,Harry rent the burning clothing from the man who had just f led from the burning building.  I will rend these dirty old clothes from my body and shower.,General,,,,
rend something into something,to rip or tear something into somethingThe past tense and past participle are rent.,The tailor rent the garment into shreds in his anger.  The garment was rent into bits and pieces by the machine.,General,,,,
render something down†, to cook the fat out of something.,Polly rendered the chicken fat down to a bit of golden grease that she would use in cooking a special dish. _Jane rendered down the fat for use later. _The cook rendered it down. 2. Fig. to reduce or simplify something to its essentials.  Let’s render this problem down to the considerations that are important to us.  Can’t we render down this matter into its essentials  Not all of this is important. Let’s render it down.,Literal,,,,
render something into something,to translate something into something.,"Now, see if you can render this passage in French.  Are you able to render this into German",General,,,,
renege on something,to go back on one’s promise or commitment.,I am mad at you because you reneged on your promise!  I did not renege on what I promised.,General,,,,
renounce someone for something,to repudiate someone for doing something,,General,,,,
rent something from someone,to pay someone for the use of something.,We rented a small car from one of the rental agencies. _They rented a house from a local realtor.,General,,,,
rent something out† to someone,to sell temporary rights for the use of something to someone.,I rented the back room out to a nice young student.  We rented the back room to someone.  For how long did you rent it out  Let’s rent out the garage.,General,,,,
repair to some place,to move oneself to some place.,I will repair to my room until the crisis is over. _She repaired to a safe place for the duration of the storm.,General,,,,
repatriate someone to some place,to restore one to one’s country of origin.,He asked that they repatriate him to the land of his birth.  She was repatriated to her homeland.,General,,,,
repay someone by something,to recompense someone by doing something,,General,,,,
repay someone for something,to remunerate someone for doing something,She was repaid for her kindness many times over.,General,,,,
repay someone with something,to remunerate someone with something.,The farmer’s wife repaid the plumbers with fresh eggs and cream. _We were repaid with fresh eggs from the farm.,General,,,,
repel someone from something,to push someone back from something,The army repelled the attackers from the entrance to the city.  The attacking army was repelled from the city.,General,,,,
replenish something with something,to rebuild the supply of something with more of it,Can I replenish your glass with more iced tea,General,,,,
reply to someone or something,to give a response to someone or something.,I replied to her already. There is no reason to do it again.  I will reply to her letter as soon as I can.,General,,,,
report about someone or something,to deliver information about someone or something.,Isn’t it time to report about Frank and how well he is doing  I want to report about the accident.,General,,,,
report back on someone or something,to return with information or an explanation from someone or something.,I need you to report back on Walter by noon.  I’ll report back as soon as I can.,General,,,,
report back to someone or something, to go back to someone or something and present oneself,I’ll report back as soon as I have all the information.,General,,,,
report for something,to present oneself for something.,Please report for duty on Monday morning at eight o’clock sharp.  I can’t report for my examination at the time we agreed upon.,General,,,,
report in,to present oneself,Please report in when you get back in town.  He reported in and his name was taken off the absentee list.,General,,,,
report in sick,to call one’s office to say that one will not come to work because one is sick,"I don’t feel well today. I will report in sick.  The phone was busy, so I reported in sick by e-mail.",General,,,,
report something to someone,to present a body of information to someone,The event was reported to the proper person.,General,,,,
report to someone or something, to present oneself to someone or an office.,"You must report to me for duty at noon.  They told me to report to this office at this time. 2. to be supervised by someone or an office. _When you start work here, you will report to Mrs. Franklin. _I report directly to the home office. 3. to return to someone or an office and make a report.  Please report to me when you have the results. _If you have any more to say, please report to headquarters and tell the whole story.",General,,,,
report upon someone or something,to present an explanation on someone or somethingUpon is formal and less commonly used than on.,The detective visited Mrs. Jones to report upon Mr. Jones.  I want to report on the events of the day. Do you have time to listen,General,,,,
repose in something," to lie stretched out in something, such as a bed.","I think I would like to repose in my own bed for an hour or two before I begin my journey.  Tom reposed in a comfortable chair for the rest of the evening. 2. to lie stretched out in a particular state, such as death or slumber.  She lay on the cot, reposed in slumber, waiting for Prince Charming to arrive.  The ruler reposed in death on public view for two days. 3. for something to exist in something or be part of the essence of something.  Much of our cultural heritage reposes in our literature. _Considerable important thinking reposes in folktales and myths.",General,,,,
repose upon something,to lie on somethingUpon is formal and less commonly used than on.,I will repose upon these cushions until my bathwater has been drawn.  Dawn reposed on the sofa for over an hour.,General,,,,
represent someone in something,to act as one’s advocate or agent in business or legal proceedings.,My lawyer represented me in court.  His attorney will represent him in all his dealings with the publishing company.,General,,,,
represent someone or something as something,to depict or portray someone or something as something,"I don’t think you should represent me as so perfect. After all, I’m human.  The artist represented my puppy as a playful animal.",General,,,,
represent something to someone, to exemplify something to someone.,What does this behavior represent to you  This represents a lapse in manners to me. 2. to explain a matter to someone. _He represented the matter to me in a much more charitable light.  I did not represent it properly to you.,General,,,,
reprimand someone for something,to scold someone for something,Mary was reprimanded for being late.,General,,,,
reproach someone for something,to rebuke or censure someone for something.,She reproached Jerry for gambling away all their money.  She reproached herself mercilessly for her failure.,General,,,,
reproach someone with something,to rebuke someone with reference to something.,I wish you wouldn’t continue to reproach me with things that happened long ago.  She was reproached with something out of the past.,General,,,,
reproduce something from something,to make a copy of something from something else.,I think we can reproduce the picture from the copy that you have there. We don’t need the negative.  Can you reproduce a good copy from this old print,General,,,,
reprove someone for something,to criticize or censure someone for something.,The boss reproved all the employees for their use of the telephones for personal calls.  We were all reproved for being late too often.,General,,,,
repulse someone or something from something,to resist or repel someone or something from something,Only the use of guns could repulse the starving wolves from the area around the cabin.,General,,,,
a reputation as a something,a state of having a particular kind of reputation for being somethingCan be a good or a bad reputationTypically: get ~,"Unfortunately, Tom’s got a reputation as a cheat.",General,,,,
a reputation for doing something,"a state of having a particular kind of reputation for doing somethingOften a bad reputation, as in the examplesTypically: get ~",You’ll get a reputation for cheating.  I don’t want to get a reputation for being late.,General,,,,
reputed to,"thought to do, be, or have someone or something",,General,,,,
request someone to do something,to ask someone to do something.,I am going to request you to turn your radio down. _Mary was requested to arrive a few minutes early.,General,,,,
request something from someone,to call for something from someone.,I will request an explanation from the employee in question.  A full report was requested from each person present.,General,,,,
request something of someone,to call for someone to give or do something,,General,,,,
require something from someone,to demand something from someone.,The telephone company required a deposit from John and Martha before they would install a telephone.  They required some help from us.,General,,,,
require something of someone,to expect or demand someone to give or do something.,I require absolute loyalty of my employees.  What is required of me in this job,General,,,,
requisition something for someone or something,to present an order or formal request for something for someone or some purpose.,I will have to requisition a desk for you. You can’t work an eight-hour day at a table. _We will requisition catering for the office party.,General,,,,
requisition something from someone or something,to send an order or formal request to someone or something for something.,The general requisitioned food and bedding from the supply depot.  We requisitioned a new bookcase from central supply.,General,,,,
rescue someone or something from someone or something,to save or liberate someone or something from someone or something.,I hoped that someone would come and rescue me from this boring person.  Nothing can rescue us from the ravages of time.,General,,,,
research into someone or something,to study about someone or something thoroughly.,I decided that I would research into Queen Elizabeth.  We researched into the period in which she lived.,General,,,,
resemble someone or something in something,to look or seem like someone or something,"This resembles vanilla ice cream in f lavor, but not in consistency.",General,,,,
